LB_NOM,Leaf,AccSpeciesID,CD_REF,FAMILLE,harvested
Hyssopus officinalis,simple,30135,103406,Lamiaceae,1
Ilex aquifolium,simple,30228,103514,Aquifoliaceae,1
Impatiens balsamina,simple,30376,445494,Balsaminaceae,1
Impatiens noli-tangere,simple,30393,103553,Balsaminaceae,1
Inula helenium,simple,30677,103627,Asteraceae,1
Iris pseudacorus,simple,30870,103772,Iridaceae,1
Isatis tinctoria,simple,31014,103817,Brassicaceae,1
Juncus effusus,simple,31479,104173,Juncaceae,1
Juniperus communis,simple,31556,104397,Cupressaceae,1
Juniperus oxycedrus,simple,31578,104409,Cupressaceae,1
Juniperus sabina,simple,31587,104413,Cupressaceae,1
Juniperus thurifera,simple,31595,104419,Cupressaceae,1
Kickxia elatine,simple,31770,104502,Plantaginaceae,1
Knautia arvensis,simple,31809,104516,Caprifoliaceae,1
Lactuca perennis,simple,32123,104764,Asteraceae,1
Lactuca serriola,simple,32132,104775,Asteraceae,1
Lactuca viminea,simple,32138,104786,Asteraceae,1
Lactuca virosa,simple,32139,104787,Asteraceae,1
Lamium album,simple,32229,104854,Lamiaceae,1
Lamium amplexicaule,simple,32230,104855,Lamiaceae,1
Lamium galeobdolon,simple,32235,104876,Lamiaceae,1
Lamium maculatum,simple,32240,104889,Lamiaceae,1
Lamium purpureum,simple,32245,104903,Lamiaceae,1
Lapsana communis,simple,32357,105017,Asteraceae,1
Larix decidua,simple,32364,105042,Pinaceae,1
Lathyrus latifolius,compound,32484,105211,Fabaceae,1
Lathyrus sylvestris,compound,32509,105266,Fabaceae,1
Laurus nobilis,simple,32543,105295,Lauraceae,1
Lavandula angustifolia,simple,32547,105297,Lamiaceae,1
Lavandula latifolia,simple,32551,105312,Lamiaceae,1
Lavandula stoechas,simple,32556,105321,Lamiaceae,1
Lemna gibba,simple,32702,105427,Araceae,1
Lemna minor,simple,32703,105431,Araceae,1
Lepidium draba,simple,32777,105621,Brassicaceae,1
Leucanthemum vulgare,simple,33153,105817,Asteraceae,1
Ligustrum vulgare,simple,33431,105966,Oleaceae,1
Lilium bulbiferum,simple,33434,105979,Liliaceae,1
Lilium martagon,simple,33444,105989,Liliaceae,1
Linaria repens,simple,33543,106213,Plantaginaceae,1
Linaria vulgaris,simple,33555,106234,Plantaginaceae,1
Linum catharticum,simple,33635,106288,Linaceae,1
Lithospermum officinale,simple,33806,106396,Boraginaceae,1
Lonicera etrusca,simple,34128,106565,Caprifoliaceae,1
Lonicera nigra,simple,34148,106574,Caprifoliaceae,1
Lonicera periclymenum,simple,34153,106581,Caprifoliaceae,1
Lonicera xylosteum,simple,34168,106595,Caprifoliaceae,1
Lotus corniculatus,compound,34249,106653,Fabaceae,1
Lycium barbarum,simple,34544,106965,Solanaceae,1
Lycopus europaeus,simple,34605,107038,Lamiaceae,1
Lysimachia nummularia,simple,34660,107073,Primulaceae,1
Lysimachia vulgaris,simple,34666,107090,Primulaceae,1
Lythrum salicaria,simple,34676,107117,Lythraceae,1
Malus sylvestris,simple,35256,107217,Rosaceae,1
Malva alcea,simple,35262,107224,Malvaceae,1
Malva moschata,compound,35268,107282,Malvaceae,1
Malva sylvestris,simple,35274,107318,Malvaceae,1
Marrubium vulgare,simple,35556,107397,Lamiaceae,1
Matricaria chamomilla,compound,35671,107440,Asteraceae,1
Matricaria discoidea,compound,35672,107446,Asteraceae,1
Melampyrum arvense,simple,35984,107786,Orobanchaceae,1
Melissa officinalis,simple,36165,107992,Lamiaceae,1
Melittis melissophyllum,simple,36167,108003,Lamiaceae,1
Mentha aquatica,simple,36265,108027,Lamiaceae,1
Mentha arvensis,simple,36266,108029,Lamiaceae,1
Mentha longifolia,simple,36274,108103,Lamiaceae,1
Mentha pulegium,simple,36277,108138,Lamiaceae,1
Mentha suaveolens,simple,36283,108168,Lamiaceae,1
Menyanthes trifoliata,compound,36302,108345,Menyanthaceae,1
Mercurialis annua,simple,36306,108351,Euphorbiaceae,1
Mercurialis perennis,simple,36311,108361,Euphorbiaceae,1
