"AccSpeciesName","AccSpeciesID","CD_REF","FAMILLE"
"Sisymbrium orientale",50428,123864,"Brassicaceae"
"Sisymbrium polyceratium",50430,123872,"Brassicaceae"
"Sisymbrium runcinatum",50432,123888,"Brassicaceae"
"Sisymbrium strictissimum",50435,123899,"Brassicaceae"
"Sisymbrium volgense",50439,123922,"Brassicaceae"
"Sisyrinchium angustifolium",50443,123926,"Iridaceae"
"Sisyrinchium montanum",50468,123933,"Iridaceae"
"Sisyrinchium rosulatum",97969,123934,"Iridaceae"
"Sium latifolium",50487,123960,"Apiaceae"
"Sium sisarum",98000,123977,"Apiaceae"
"Smilax aspera",50553,123987,"Smilacaceae"
"Smyrnium olusatrum",50600,124003,"Apiaceae"
"Smyrnium perfoliatum",50601,124004,"Apiaceae"
"Soda inermis",455047,124008,"Amaranthaceae"
"Solanum bonariense",50641,124020,"Solanaceae"
"Solanum chenopodioides",50660,124025,"Solanaceae"
"Solanum dulcamara",50679,124034,"Solanaceae"
"Solanum elaeagnifolium",50681,124036,"Solanaceae"
"Solanum laciniatum",50724,124064,"Solanaceae"
"Solanum linnaeanum",50732,124066,"Solanaceae"
"Solanum lycopersicum",50734,124070,"Solanaceae"
"Solanum nigrum",50755,124080,"Solanaceae"
"Solanum nitidibaccatum",98141,124081,"Solanaceae"
"Solanum pseudocapsicum",50777,124093,"Solanaceae"
"Solanum rostratum",50794,124098,"Solanaceae"
"Solanum sarrachoides",50802,124106,"Solanaceae"
"Solanum tuberosum",50834,124125,"Solanaceae"
"Solanum villosum",50844,124132,"Solanaceae"
"Soldanella alpina",50853,124139,"Primulaceae"
"Soldanella villosa",98174,124144,"Primulaceae"
"Soleirolia soleirolii",50859,124147,"Urticaceae"
"Solenopsis corsica",385847,717556,"Campanulaceae"
"Solenopsis laurentia",98180,124150,"Campanulaceae"
"Solidago canadensis",50873,124164,"Asteraceae"
"Solidago gigantea",50876,124168,"Asteraceae"
"Solidago virgaurea",50905,124205,"Asteraceae"
"Soliva sessilis",50907,124214,"Asteraceae"
"Sonchus aquatilis",98191,124231,"Asteraceae"
"Sonchus arvensis",50913,124232,"Asteraceae"
"Sonchus asper",50914,124233,"Asteraceae"
"Sonchus bulbosus",455203,611481,"Asteraceae"
"Sonchus maritimus",50928,124256,"Asteraceae"
"Sonchus oleraceus",50929,124261,"Asteraceae"
"Sonchus palustris",50930,124264,"Asteraceae"
"Sonchus tenerrimus",50935,124278,"Asteraceae"
"Sorbaria sorbifolia",50982,124300,"Rosaceae"
"Sorbaria tomentosa",50984,124302,"Rosaceae"
"Sorbus aucuparia",50997,124308,"Rosaceae"
"Sorghum bicolor",51142,124369,"Poaceae"
"Sorghum halepense",51149,124378,"Poaceae"
"Sparganium angustifolium",51202,124405,"Typhaceae"
"Sparganium emersum",51203,124407,"Typhaceae"
"Sparganium erectum",51204,124408,"Typhaceae"
"Sparganium natans",51208,124412,"Typhaceae"
"Spartium junceum",51228,124453,"Fabaceae"
"Spergula arvensis",51244,124499,"Caryophyllaceae"
"Spergula morisonii",51246,124517,"Caryophyllaceae"
"Spergula pentandra",51247,124519,"Caryophyllaceae"
"Spergularia bocconei",98363,124545,"Caryophyllaceae"
