"NOM_VALIDE","CD_REF","Cosmetics","Crafts","Food and Beverages","Medical/Therapeutic","Ornamental Plants","Other"
"Fumaria officinalis L., 1753",99108,0,1,0,3,0,0
"Galanthus nivalis L., 1753",99233,0,0,0,3,0,1
"Galatella sedifolia (L.) Greuter, 2003",610594,0,0,0,2,0,0
"Galega officinalis L., 1753",99260,0,0,0,3,0,3
"Galeopsis ladanum L., 1753",99305,0,0,1,2,0,1
"Galeopsis segetum Neck., 1770",99329,0,0,0,3,0,0
"Galeopsis tetrahit L., 1753",99334,0,0,1,3,0,0
"Galinsoga parviflora Cav., 1795",99358,0,0,2,2,0,1
"Galium album Mill., 1768",99366,0,0,0,1,0,0
"Galium aparine L., 1753",99373,0,1,1,3,0,0
"Galium mollugo L., 1753",99473,0,0,1,3,0,1
"Galium odoratum (L.) Scop., 1771",99488,0,0,3,3,0,1
"Galium palustre L., 1753",99494,0,0,0,2,0,0
"Galium verum L., 1753",99582,0,1,2,3,0,0
"Genista cinerea (Vill.) DC., 1805",99735,0,0,0,0,0,1
"Genista scorpius (L.) DC., 1805",99815,0,0,0,2,0,1
"Genista tinctoria L., 1753",99828,0,1,1,3,0,2
"Gentiana acaulis L., 1753",99854,0,0,0,3,0,1
"Gentiana cruciata L., 1753",99881,0,0,0,3,0,0
"Gentiana lutea L., 1753",99903,1,1,4,4,1,3
"Gentiana pneumonanthe L., 1753",99922,0,0,0,2,0,0
"Gentiana purpurea L., 1753",99929,0,0,0,2,0,0
"Gentiana verna L., 1753",99953,0,0,0,1,0,0
"Geranium robertianum L., 1753",100142,0,0,0,3,0,1
"Geranium rotundifolium L., 1753",100144,0,0,0,3,0,0
"Geranium sanguineum L., 1753",100149,0,0,0,2,0,1
"Geum montanum L., 1753",100208,0,0,0,1,0,0
"Geum rivale L., 1753",100215,0,0,1,3,0,0
"Geum urbanum L., 1753",100225,0,0,3,3,0,0
"Glechoma hederacea L., 1753",100310,0,0,2,3,0,1
"Globularia alypum L., 1753",100335,0,1,0,1,0,1
"Gratiola officinalis L., 1753",100576,0,0,0,2,0,1
"Gymnadenia nigra (L.) Rchb.f., 1856",100613,0,0,0,1,0,0
"Hedera helix L., 1753",100787,0,2,0,2,0,2
"Helianthemum nummularium (L.) Mill., 1768",100956,0,0,0,3,0,1
"Helichrysum italicum (Roth) G.Don, 1830",101080,1,1,3,3,0,1
"Helichrysum stoechas (L.) Moench, 1794",101101,0,0,0,3,0,0
"Heliotropium europaeum L., 1753",101144,0,0,0,2,0,1
"Helleborus foetidus L., 1753",101188,0,0,0,2,0,2
"Helleborus viridis L., 1753",101202,0,0,0,2,0,1
"Hepatica nobilis Schreb., 1771",101253,0,0,0,3,0,0
"Heracleum sphondylium L., 1753",101300,0,1,2,3,0,2
