"NOM_VALIDE","CD_REF","SOURCE","SELECTED_TYPOLOGY_ENG"
"Ribes uva-crispa L., 1753",117787,"KEW","Other"
"Rubus idaeus L., 1753",119149,"KEW","Other"
"Rumex crispus L., 1753",119473,"KEW","Other"
"Sinapis arvensis L., 1753",123713,"KEW","Other"
"Sonchus asper (L.) Hill, 1769",124233,"KEW","Other"
"Vaccinium vitis-idaea L., 1753",128355,"KEW","Other"
"Valerianella locusta (L.) Laterr., 1821",128476,"KEW","Other"
"Acacia dealbata Link, 1822",79691,"KEW","Food and Beverages"
"Achillea millefolium L., 1753",79908,"KEW","Food and Beverages"
"Acorus calamus L., 1753",80086,"KEW","Food and Beverages"
"Adiantum capillus-veneris L., 1753",447951,"KEW","Food and Beverages"
"Agave americana L., 1753",80383,"KEW","Food and Beverages"
"Agrimonia eupatoria L., 1753",80410,"KEW","Food and Beverages"
"Physalis alkekengi L., 1753",113321,"KEW","Food and Beverages"
"Alliaria petiolata (M.Bieb.) Cavara & Grande, 1913",81295,"KEW","Food and Beverages"
"Allium schoenoprasum L., 1753",81508,"KEW","Food and Beverages"
"Allium victorialis L., 1753",81543,"KEW","Food and Beverages"
"Alnus glutinosa (L.) Gaertn., 1790",81569,"KEW","Food and Beverages"
"Althaea officinalis L., 1753",81856,"KEW","Food and Beverages"
"Lysimachia arvensis (L.) U.Manns & Anderb., 2009",610909,"KEW","Food and Beverages"
"Anchusa azurea Mill., 1768",618756,"KEW","Food and Beverages"
"Anthriscus sylvestris (L.) Hoffm., 1814",82952,"KEW","Food and Beverages"
"Anthyllis vulneraria L., 1753",82999,"KEW","Food and Beverages"
"Apium graveolens L., 1753",83195,"KEW","Food and Beverages"
"Arbutus unedo L., 1753",83481,"KEW","Food and Beverages"
"Arctium lappa L., 1753",83499,"KEW","Food and Beverages"
"Arenaria serpyllifolia L., 1753",83653,"KEW","Food and Beverages"
"Roemeria argemone (L.) C.Morales, R.Mend. & Romero García, 1988",117874,"KEW","Food and Beverages"
"Armoracia rusticana G.Gaertn., B.Mey. & Scherb., 1800",83866,"KEW","Food and Beverages"
"Artemisia absinthium L., 1753",83933,"KEW","Food and Beverages"
"Artemisia annua L., 1753",83938,"KEW","Food and Beverages"
"Artemisia genipi Weber, 1775",83973,"KEW","Food and Beverages"
"Artemisia glacialis L., 1763",83974,"KEW","Food and Beverages"
"Artemisia umbelliformis Lam., 1783",84053,"KEW","Food and Beverages"
"Artemisia vulgaris L., 1753",84061,"KEW","Food and Beverages"
"Arundo donax L., 1753",84173,"KEW","Food and Beverages"
"Asclepias syriaca L., 1753",84251,"KEW","Food and Beverages"
"Asparagus officinalis L., 1753",84279,"KEW","Food and Beverages"
"Barbarea vulgaris W.T.Aiton, 1812",761965,"KEW","Food and Beverages"
"Berberis vulgaris L., 1753",85774,"KEW","Food and Beverages"
"Beta vulgaris L., 1753",85820,"KEW","Food and Beverages"
"Betula pendula Roth, 1788",85903,"KEW","Food and Beverages"
"Bidens pilosa L., 1753",85972,"KEW","Food and Beverages"
"Bistorta officinalis Delarbre, 1800",86081,"KEW","Food and Beverages"
"Blitum bonus-henricus (L.) Rchb., 1832",994837,"KEW","Food and Beverages"
"Borago officinalis L., 1753",86156,"KEW","Food and Beverages"
"Caltha palustris L., 1753",87540,"KEW","Food and Beverages"
"Campanula rapunculus L., 1753",87712,"KEW","Food and Beverages"
"Capsella bursa-pastoris (L.) Medik., 1792",87849,"KEW","Food and Beverages"
"Cardamine pratensis L., 1753",87964,"KEW","Food and Beverages"
"Carum carvi L., 1753",89250,"KEW","Food and Beverages"
"Castanea sativa Mill., 1768",89304,"KEW","Food and Beverages"
"Centaurea benedicta (L.) L., 1763",89531,"KEW","Food and Beverages"
"Centaurium erythraea Rafn, 1800",89840,"KEW","Food and Beverages"
"Ceratonia siliqua L., 1753",447038,"KEW","Food and Beverages"
"Cercis siliquastrum L., 1753",90234,"KEW","Food and Beverages"
"Chamaemelum nobile (L.) All., 1785",90470,"KEW","Food and Beverages"
"Chenopodium album L., 1753",90681,"KEW","Food and Beverages"
"Dysphania ambrosioides (L.) Mosyakin & Clemants, 2002",611753,"KEW","Food and Beverages"
"Cichorium intybus L., 1753",91169,"KEW","Food and Beverages"
"Cistus ladanifer L., 1753",91680,"KEW","Food and Beverages"
"Clematis vitalba L., 1753",91886,"KEW","Food and Beverages"
"Clinopodium nepeta (L.) Kuntze, 1891",91910,"KEW","Food and Beverages"
"Colutea arborescens L., 1753",92196,"KEW","Food and Beverages"
"Cormus domestica (L.) Spach, 1834",92488,"KEW","Food and Beverages"
"Cornus mas L., 1753",92497,"KEW","Food and Beverages"
"Corylus avellana L., 1753",92606,"KEW","Food and Beverages"
"Crataegus azarolus L., 1753",92824,"KEW","Food and Beverages"
"Crataegus germanica (L.) Kuntze, 1891",92854,"KEW","Food and Beverages"
"Cynodon dactylon (L.) Pers., 1805",93803,"KEW","Food and Beverages"
"Cyperus longus L., 1753",93967,"KEW","Food and Beverages"
"Cyperus rotundus L., 1753",94011,"KEW","Food and Beverages"
"Cytisus scoparius (L.) Link, 1822",94164,"KEW","Food and Beverages"
"Datura stramonium L., 1753",94489,"KEW","Food and Beverages"
