"CD_REF","NOM_VALIDE","buds","bark","leaves","flowers","fruit","seed","seedling","aboveground_part","underground_part","whole_plant","sap"
89888,"Centranthus ruber (L.) DC., 1805",1,1,1,1,1,1,1,1,1,1,1
90234,"Cercis siliquastrum L., 1753",1,1,1,1,1,1,1,1,1,1,1
90470,"Chamaemelum nobile (L.) All., 1785",1,1,1,1,1,1,1,1,1,1,1
90669,"Chelidonium majus L., 1753",1,1,1,1,1,1,1,1,1,1,1
90681,"Chenopodium album L., 1753",1,1,1,1,1,1,1,1,1,1,1
90836,"Chenopodium vulvaria L., 1753",1,1,1,1,1,1,1,1,1,1,1
90954,"Chondrilla juncea L., 1753",1,1,1,1,1,1,1,1,1,1,1
91169,"Cichorium intybus L., 1753",1,1,1,1,1,1,1,1,1,1,1
91199,"Cicuta virosa L., 1753",1,1,1,1,1,1,1,1,1,1,1
91289,"Cirsium arvense (L.) Scop., 1772",1,1,1,1,1,1,1,1,1,1,1
91410,"Cirsium spinosissimum (L.) Scop., 1769",1,1,1,1,1,1,1,1,1,1,1
91680,"Cistus ladanifer L., 1753",1,1,1,1,1,1,1,1,1,1,1
91880,"Clematis recta L., 1753",1,1,1,1,1,1,1,1,1,1,1
91886,"Clematis vitalba L., 1753",1,1,1,1,1,1,1,1,1,1,1
91904,"Clinopodium grandiflorum (L.) Kuntze, 1891",1,1,1,1,1,1,1,1,1,1,1
91910,"Clinopodium nepeta (L.) Kuntze, 1891",1,1,1,1,1,1,1,1,1,1,1
91912,"Clinopodium vulgare L., 1753",1,1,1,1,1,1,1,1,1,1,1
92052,"Cochlearia officinalis L., 1753",1,1,1,1,1,1,1,1,1,1,1
92127,"Colchicum autumnale L., 1753",1,1,1,1,1,1,1,1,1,1,1
92196,"Colutea arborescens L., 1753",1,1,1,1,1,1,1,1,1,1,1
92237,"Conium maculatum L., 1753",1,1,1,1,1,1,1,1,1,1,1
92282,"Convallaria majalis L., 1753",1,1,1,1,1,1,1,1,1,1,1
92302,"Convolvulus arvensis L., 1753",1,1,1,1,1,1,1,1,1,1,1
92353,"Convolvulus sepium L., 1753",1,1,1,1,1,1,1,1,1,1,1
92467,"Coriaria myrtifolia L., 1753",1,1,1,1,1,1,1,1,1,1,1
92488,"Cormus domestica (L.) Spach, 1834",1,1,1,1,1,1,1,1,1,1,1
92497,"Cornus mas L., 1753",1,1,1,1,1,1,1,1,1,1,1
92501,"Cornus sanguinea L., 1753",1,1,1,1,1,1,1,1,1,1,1
92566,"Corrigiola litoralis L., 1753",1,1,1,1,1,1,1,1,1,1,1
92606,"Corylus avellana L., 1753",1,1,1,1,1,1,1,1,1,1,1
