CD_REF,NOM_VALIDE,binomial_acc_name,AnimalFood,EnvironmentalUses,Fuels,GeneSources,HumanFood,InvertebrateFood,Materials,Medicines,Poisons,SocialUses
93621,"Cuscuta epithymum (L.) L., 1774",Cuscuta epithymum,0,0,0,0,0,0,0,1,0,0
93623,"Cuscuta europaea L., 1753",Cuscuta europaea,0,0,0,0,0,0,0,1,1,0
93708,"Cyclamen purpurascens Mill., 1768",Cyclamen purpurascens,0,0,0,0,0,0,1,1,0,0
93803,"Cynodon dactylon (L.) Pers., 1805",Cynodon dactylon,1,1,0,0,1,0,1,1,1,1
93840,"Cynoglossum officinale L., 1753",Cynoglossum officinale,0,0,0,0,0,0,0,1,1,0
93967,"Cyperus longus L., 1753",Cyperus longus,1,1,0,1,1,0,1,1,1,0
94011,"Cyperus rotundus L., 1753",Cyperus rotundus,1,1,0,1,1,0,1,1,1,0
94164,"Cytisus scoparius (L.) Link, 1822",Cytisus scoparius,0,1,0,0,1,0,1,1,1,0
94207,"Dactylis glomerata L., 1753",Dactylis glomerata,1,1,0,0,0,0,0,1,1,0
94266,"Dactylorhiza maculata (L.) Soó, 1962",Dactylorhiza maculata,0,0,0,0,0,0,0,1,0,0
94427,"Daphne gnidium L., 1753",Daphne gnidium,0,0,0,0,0,0,1,1,1,0
94432,"Daphne laureola L., 1753",Daphne laureola,0,1,0,0,0,0,1,1,1,0
94435,"Daphne mezereum L., 1753",Daphne mezereum,0,1,0,0,0,0,0,1,1,0
94489,"Datura stramonium L., 1753",Datura stramonium,0,1,1,0,1,0,1,1,1,1
94503,"Daucus carota L., 1753",Daucus carota,1,0,0,1,1,0,1,1,1,0
94626,"Deschampsia cespitosa (L.) P.Beauv., 1812",Deschampsia cespitosa,1,1,0,0,0,0,1,1,0,0
94645,"Descurainia sophia (L.) Webb ex Prantl, 1891",Descurainia sophia,0,0,0,1,1,0,0,1,0,0
94716,"Dianthus carthusianorum L., 1753",Dianthus carthusianorum,0,1,0,0,0,0,0,0,0,0
94923,"Dictamnus albus L., 1753",Dictamnus albus,0,1,0,0,0,0,0,1,1,0
94945,"Digitalis lutea L., 1753",Digitalis lutea,0,0,0,0,0,0,0,1,0,0
94959,"Digitalis purpurea L., 1753",Digitalis purpurea,0,1,0,0,0,0,1,1,1,0
611652,"Dioscorea communis (L.) Caddick & Wilkin, 2002",Dioscorea communis,0,0,0,0,1,0,0,1,1,0
95136,"Diplotaxis tenuifolia (L.) DC., 1821",Diplotaxis tenuifolia,0,0,0,1,0,0,0,1,0,0
95149,"Dipsacus fullonum L., 1753",Dipsacus fullonum,0,1,0,0,1,1,1,1,0,0
95186,"Dittrichia graveolens (L.) Greuter, 1973",Dittrichia graveolens,0,0,0,0,0,0,0,1,1,0
95187,"Dittrichia viscosa (L.) Greuter, 1973",Dittrichia viscosa,0,0,0,0,0,0,1,1,0,0
95239,"Doronicum pardalianches L., 1753",Doronicum pardalianches,0,1,0,0,0,0,0,1,1,0
95425,"Dracunculus vulgaris Schott, 1832",Dracunculus vulgaris,0,1,0,0,0,0,0,1,1,0
161772,"Charybdis maritima (L.) Speta, 1998",Drimia maritima,1,1,0,0,1,0,1,1,1,1
95436,"Drosera anglica Huds., 1778",Drosera anglica,0,1,0,0,0,0,0,1,0,0
95438,"Drosera intermedia Hayne, 1798",Drosera intermedia,0,0,0,0,0,0,0,1,0,0
95442,"Drosera rotundifolia L., 1753",Drosera rotundifolia,0,1,0,0,0,0,0,1,0,0
95461,"Dryas octopetala L., 1753",Dryas octopetala,0,1,0,0,0,0,0,1,0,0
95567,"Dryopteris filix-mas (L.) Schott, 1834",Dryopteris filix-mas,0,1,0,0,0,0,0,1,1,0
611755,"Dysphania botrys (L.) Mosyakin & Clemants, 2002",Dysphania botrys,0,1,0,0,0,0,0,1,0,0
95662,"Ecballium elaterium (L.) A.Rich., 1824",Ecballium elaterium,0,1,0,0,0,0,0,1,0,0
95793,"Echium vulgare L., 1753",Echium vulgare,0,1,0,0,0,1,0,1,1,0
95806,"Eclipta prostrata (L.) L., 1771",Eclipta prostrata,1,1,0,1,1,0,1,1,0,0
102863,"Hippophae rhamnoides L., 1753",Hippophae rhamnoides,0,1,0,0,1,0,1,1,0,0
96046,"Elytrigia repens (L.) Desv. ex Nevski, 1934",Elymus repens,1,0,0,1,1,0,1,1,0,0
96101,"Ephedra distachya L., 1753",Ephedra distachya,0,0,0,0,0,0,1,1,0,0
90483,"Chamaenerion angustifolium (L.) Scop., 1771",Epilobium angustifolium,0,1,0,0,0,1,0,1,0,0
96180,"Epilobium hirsutum L., 1753",Epilobium hirsutum,0,0,0,1,1,0,1,1,0,1
96226,"Epilobium palustre L., 1753",Epilobium palustre,0,0,0,0,0,0,0,1,0,0
96229,"Epilobium parviflorum Schreb., 1771",Epilobium parviflorum,0,0,0,0,0,0,0,1,0,0
96251,"Epilobium roseum Schreb., 1771",Epilobium roseum,0,0,0,0,0,0,0,1,0,0
96271,"Epilobium tetragonum L., 1753",Epilobium tetragonum,0,0,0,0,0,0,0,1,0,0
96508,"Equisetum arvense L., 1753",Equisetum arvense,0,0,0,0,1,0,1,1,1,0
96523,"Equisetum hyemale L., 1753",Equisetum hyemale,0,1,0,0,0,0,1,1,0,0
96534,"Equisetum palustre L., 1753",Equisetum palustre,0,0,0,0,0,0,0,1,1,0
96545,"Equisetum sylvaticum L., 1753",Equisetum sylvaticum,0,0,0,0,0,0,1,1,0,0
96546,"Equisetum telmateia Ehrh., 1783",Equisetum telmateia,0,0,0,0,0,0,0,1,0,0
96664,"Erica carnea L., 1753 [nom. cons.]",Erica carnea,0,0,0,0,0,0,0,1,0,0
96665,"Erica ciliaris L., 1753",Erica ciliaris,0,1,0,0,0,0,0,0,0,0
96667,"Erica cinerea L., 1753",Erica cinerea,0,1,0,0,0,1,0,1,0,0
96691,"Erica scoparia L., 1753",Erica scoparia,0,1,0,0,0,0,1,0,0,0
611688,"Erigeron acris L., 1753",Erigeron acris,0,0,0,0,0,0,0,1,0,0
96749,"Erigeron canadensis L., 1753",Erigeron canadensis,0,0,1,0,1,0,1,1,1,0
96895,"Erodium cicutarium (L.) L'Hér., 1789",Erodium cicutarium,1,0,0,0,1,0,1,1,1,0
97141,"Eryngium campestre L., 1753",Eryngium campestre,0,0,0,0,0,0,0,1,0,0
97185,"Erysimum cheiri (L.) Crantz, 1769",Erysimum cheiri,0,0,0,0,0,0,0,1,0,0
609982,"Euonymus europaeus L., 1753",Euonymus europaeus,0,1,0,0,0,0,1,1,1,0
97434,"Eupatorium cannabinum L., 1753",Eupatorium cannabinum,0,1,0,0,0,0,1,1,0,0
97452,"Euphorbia amygdaloides L., 1753",Euphorbia amygdaloides,0,1,0,0,0,0,0,1,0,0
97490,"Euphorbia cyparissias L., 1753",Euphorbia cyparissias,0,1,0,0,0,0,0,1,1,0
97537,"Euphorbia helioscopia L., 1753",Euphorbia helioscopia,0,0,0,0,0,0,0,1,1,0
97556,"Euphorbia lathyris L., 1753",Euphorbia lathyris,0,0,1,0,1,0,1,1,1,0
97601,"Euphorbia palustris L., 1753",Euphorbia palustris,0,0,0,0,0,0,1,1,0,0
97781,"Euphrasia officinalis L., 1753",Euphrasia officinalis,0,0,0,0,0,0,0,1,0,0
97947,"Fagus sylvatica L., 1753",Fagus sylvatica,0,0,1,0,0,0,1,1,1,1
117503,"Reynoutria japonica Houtt., 1777",Reynoutria japonica,1,1,0,0,1,0,0,1,1,0
98020,"Ferula communis L., 1753",Ferula communis,0,1,1,1,1,0,1,1,1,0
98023,"Ferula glauca L., 1753",Ferula glauca,0,0,0,0,0,0,0,1,0,0
98651,"Ficaria verna Huds., 1762",Ranunculus ficaria,0,1,0,0,0,0,0,1,1,0
98653,"Ficus carica L., 1753",Ficus carica,1,1,0,1,1,0,1,1,1,1
