ORIGIN_USE,DETAIL_ORIGIN_USE,ORIGIN_TYPOLOGY,SELECTED_TYPOLOGY_FR,DETAIL_SELECTED_TYPOLOGY_FR,SELECTED_TYPOLOGY_ENG,DETAIL_SELECTED_TYPOLOGY_ENG
Chocolate,"Edible uses - Substitutes for chocolate, that is. ( 15 )",PFAF,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
Coffee,Edible uses - The various substitutes that can be used instead of coffee. ( 254 ),PFAF,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
Colouring,Edible uses - Edible dyes ( 62 ),PFAF,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
Condiment,"Edible uses - The various plants that are used as flavourings, either as herbs, spices or condiments. ( 640 )",PFAF,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
Curdling agent ,Edible uses - Used to curdle soya milk in making cheese. ( 17 ),PFAF,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
Drink,"Edible uses - Not including plant saps, tea or coffee substitutes. ( 287 )",PFAF,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
Egg  ,Edible uses - Substitutes for eggs. ( 5 ),PFAF,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
Gelatine,Edible uses - Substitutes that is. ( 4 ),PFAF,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
Gum ,Edible uses - Can be chewed as a chewing gum or can often be used as a sweetener or thickening agent in foods. ( 285 ),PFAF,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
Milk,"Edible uses - Made from plants, that is. ( 21 )",PFAF,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
Oil,Edible uses - ( 713 ),PFAF,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
