ORIGIN_USE,DETAIL_ORIGIN_USE,ORIGIN_TYPOLOGY,SELECTED_TYPOLOGY_FR,DETAIL_SELECTED_TYPOLOGY_FR,SELECTED_TYPOLOGY_ENG,DETAIL_SELECTED_TYPOLOGY_ENG
AnimalFood,,KEW World Checklist of Useful Plant Species,Autre,non précisé,Other,not specified
EnvironmentalUses,,KEW World Checklist of Useful Plant Species,Autre,non précisé,Other,not specified
Fuels,,KEW World Checklist of Useful Plant Species,Autre,non précisé,Other,not specified
GeneSources,,KEW World Checklist of Useful Plant Species,Autre,non précisé,Other,not specified
HumanFood,,KEW World Checklist of Useful Plant Species,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
InvertebrateFood,,KEW World Checklist of Useful Plant Species,Autre,non précisé,Other,not specified
Materials,,KEW World Checklist of Useful Plant Species,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Medicines,,KEW World Checklist of Useful Plant Species,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
Poisons,,KEW World Checklist of Useful Plant Species,Autre,non précisé,Other,not specified
SocialUses,,KEW World Checklist of Useful Plant Species,Autre,non précisé,Other,not specified
divers,,Référentiel usages Laurence Chabert CBNMED,Autre,non précisé,Other,not specified
alimentaire,,Référentiel usages Laurence Chabert CBNMED,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
artisanat,,Référentiel usages Laurence Chabert CBNMED,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
medical,,Référentiel usages Laurence Chabert CBNMED,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
parfumerie,,Référentiel usages Laurence Chabert CBNMED,Cosmétique,"parfums, crèmes, shampoings...",Cosmetics,"perfumes, creams, shampoos..."
cultivable,,Référentiel usages Laurence Chabert CBNMED,Autre,non précisé,Other,not specified
cosmetique,,Référentiel usages Laurence Chabert CBNMED,Cosmétique,"parfums, crèmes, shampoings...",Cosmetics,"perfumes, creams, shampoos..."
menager,,Référentiel usages Laurence Chabert CBNMED,Autre,non précisé,Other,not specified
agricole,,Référentiel usages Laurence Chabert CBNMED,Autre,non précisé,Other,not specified
RD,"Recherche : Bio prospection, développement, expérimental",CBN,Autre,non précisé,Other,not specified
AL,"Transformation alimentaire : Préparations alimentaires, condiments, humains ou vétérinaires",CBN,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
DI,Liquoristerie,CBN,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
FA,"Fabrication : Vannerie, tournage sur bois",CBN,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
PH,"Pharmacie/médicinal : Médicaments, phytothérapie humaine ou vétérinaire",CBN,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
PA,Parfumerie,CBN,Cosmétique,"parfums, crèmes, shampoings...",Cosmetics,"perfumes, creams, shampoos..."
CO,"Cosmétique : Produits de beauté (savons, crèmes…)",CBN,Cosmétique,"parfums, crèmes, shampoings...",Cosmetics,"perfumes, creams, shampoos..."
AR,Aromathérapie : Huiles essentielles,CBN,Cosmétique,"parfums, crèmes, shampoings...",Cosmetics,"perfumes, creams, shampoos..."
AR,Aromathérapie : Huiles essentielles,CBN,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
CH,"Chimie : Peintures, solvants, colles, engrais",CBN,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
CH,"Chimie : Peintures, solvants, colles, engrais",CBN,Autre,non précisé,Other,not specified
HE,Herboristerie : Plantes sèches,CBN,Cosmétique,"parfums, crèmes, shampoings...",Cosmetics,"perfumes, creams, shampoos..."
HE,Herboristerie : Plantes sèches,CBN,Médical/thérapeutique,"médicaments, aromathérapie, homéopathie, vétérinaire...",Medical/Therapeutic,"medications, aromatherapy, homeopathy, veterinary..."
HE,Herboristerie : Plantes sèches,CBN,Alimentaire et boissons ,"confitures, confiserie, arômes, colorants, condiments, liqueurs, infusions...",Food and Beverages,"jams, confectionery, flavors, colorants, condiments, liqueurs, infusions..."
OR,"Ornementation : Décoration, horticulture, bouquets",CBN,Plantes ornementales,"plants, bulbes, boutures, parties de plantes...",Ornamental Plants,"seedlings, bulbs, cuttings, plant parts..."
TE,Teinture : Teinturerie,CBN,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Insulation ,"Building Materials - Providing insulation against extremes of temperature, sound or electricity. ( 38 )",PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Pipes ,Building Materials - For carrying water etc. ( 13 ),PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Pitch ,"Building Materials - Used for waterproofing, in paints etc. ( 12 )",PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Plaster ,Building Materials - Used for covering walls. ( 8 ),PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Roofing ,Building Materials - Used to give a waterproof roof to buildings. See also Thatching. ( 30 ),PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Thatching ,Building Materials - Used for making thatched roofs. ( 117 ),PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Buttons ,Clothing - Plants that can be used as buttons. Not including making buttons from wood. ( 18 ),PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Darning ball  ,Clothing - (1),PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Fibre ,"Clothing - Used for making cloth, rope, paper etc. ( 418 )",PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Latex ,Clothing - A source of rubber. ( 105 ),PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Leather ,"Clothing - Substitutes, that is. ( 3 )",PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Needles ,"Clothing - Used for sewing, darning etc. ( 15 )",PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Pins ,"Clothing - Used as needles and pins in sewing etc. Also used to lance boils, extract splinters from the skin etc. ( 5 )",PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Raffia ,Clothing - A substitute for that material. ( 3 ),PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Starch ,Clothing - Used as a fabric stiffener. ( 29 ),PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Stuffing ,"Clothing - Used in making soft toys, mattresses, pillows etc. ( 62 )",PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Tannin ,"Clothing - An astringent substance obtaied from plants, it is used medicinally, as a dye and mordant, stabilizer in pesticide etc. ( 397 )",PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Weaving ,"Clothing - Items such as grass and palm leaves that are woven together for making mats, baskets etc. See also Basket making and Fibre. ( 140 )",PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Blotting paper,"Dyes, paints, inks and paper - Plant that can be used to make blotting paper. ( 1 )",PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Dye ,"Dyes, paints, inks and paper - Plants that provide dyes. ( 1300 )",PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Ink ,"Dyes, paints, inks and paper - Plants that can be used as an ink. ( 63 )",PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Mordant ,"Dyes, paints, inks and paper - Used for making a dye more permanent, it also affects the colour of the dye. ( 62 )",PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Paint ,"Dyes, paints, inks and paper - Plants used directly as a paint. Does not include oil plants and dyes that can be used as ingredients in paints. ( 31 )",PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Paper ,"Dyes, paints, inks and paper - Related to the entry for Fibre, these plants have been specifically mentioned for paper making. ( 235 )",PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Pencil ,"Dyes, paints, inks and paper - A couple of plants especially mentioned for making the tubes that pencil leads fit into. ( 3 )",PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Size ,"Dyes, paints, inks and paper - Used on materials, paper etc to give a surface that will take ink, dyes etc. ( 14 )",PFAF,Artisanat,"vannerie, tannage, teinture, construction...",Crafts,"basketry, tanning, dyeing, construction..."
Compost ,"Fertilisers - Plants used for activating compost heaps, providing biomass for composting, using as instant compost etc. ( 60 )",PFAF,Autre,non précisé,Other,not specified
Fertilizer ,Fertilisers - Provides a concentrated solid plant food. ( 22 ),PFAF,Autre,non précisé,Other,not specified
Green manure,Fertilisers - Fast-growing plants that can be used to increase the fertility of the soil. ( 109 ),PFAF,Autre,non précisé,Other,not specified
Liquid feed,Fertilisers - Plants that can be used to make a liquid fertilizer. ( 29 ),PFAF,Autre,non précisé,Other,not specified
Potash ,"Fertilisers - Used for making glass, soap and as a fertilizer. ( 21 )",PFAF,Autre,non précisé,Other,not specified
Alcohol ,"Fire and lighting - Used for fuel etc. (this is wood alcohol, it is not the sort that can be drunk. ( 15 )",PFAF,Autre,non précisé,Other,not specified
Biomass ,Fire and lighting - Provides a large quantity of plant material that can be converted into fuel etc. ( 138 ),PFAF,Autre,non précisé,Other,not specified
Charcoal ,"Fire and lighting - Used for fuel, drawing, deodorant, filter, fertilizer etc. ( 209 )",PFAF,Autre,non précisé,Other,not specified
Friction sticks,Fire and lighting - Used for starting fires when there are no matches. ( 8 ),PFAF,Autre,non précisé,Other,not specified
Fuel ,"Fire and lighting - Usually wood, plant materials that have been mentioned as being a good fuel. ( 471 )",PFAF,Autre,non précisé,Other,not specified
Kindling ,Fire and lighting - Plant material that burns easily and can be used for starting fires. ( 6 ),PFAF,Autre,non précisé,Other,not specified
Lighting ,Fire and lighting - Plants that can be used as torches etc. See also Oil and Wax. ( 69 ),PFAF,Autre,non précisé,Other,not specified
Oil ,"Fire and lighting - Vegetable oils have many uses, as lubricants, lighting, soap and paint making, waterproofing etc. This does not include the edible oils unless they are also mentioned as having other uses. ( 713 )",PFAF,Autre,non précisé,Other,not specified
Tinder ,Fire and lighting - Used for starting fires. See also Kindling. ( 57 ),PFAF,Autre,non précisé,Other,not specified
Wax ,Fire and lighting - Used for making candles etc. ( 29 ),PFAF,Autre,non précisé,Other,not specified
Wick ,"Fire and lighting - Used as a wick for candles, lamps etc. ( 13 )",PFAF,Autre,non précisé,Other,not specified
