LB_NOM,CD_REF,C,S,R,CSR,strategy_class
Erica scoparia,96691,0,100,0,0 : 100 : 0 %,S
Erigeron acris,611688,24.1413847097057,25.1643087220379,50.6943065682564,24 : 25 : 51 %,R/CSR
Erigeron canadensis,96749,20.3487921671887,61.8897995607474,17.7614082720639,20 : 62 : 18 %,S/CSR
Erodium cicutarium,96895,21.1456064663219,20.3617288740615,58.4926646596166,21 : 20 : 58 %,R/CSR
Eryngium campestre,97141,80.0967849397897,19.9032150602103,0,80 : 20 : 0 %,C/CS
Euonymus europaeus,609982,27.564772925766,54.0985868342845,18.3366402399495,28 : 54 : 18 %,S/CSR
Eupatorium cannabinum,97434,47.5784592081718,18.183964314055,34.2375764777733,48 : 18 : 34 %,CR/CSR
Euphorbia amygdaloides,97452,14.9640978236478,31.8660502109659,53.1698519653864,15 : 32 : 53 %,R/CSR
Euphorbia cyparissias,97490,8.19718206674365,59.0151438523999,32.7876740808564,8 : 59 : 33 %,S/SR
Euphorbia helioscopia,97537,20.9935539489104,7.2631895127917,71.7432565382979,21 : 7 : 72 %,R/CR
Euphorbia lathyris,97556,44.5563545543646,4.44024522200922,51.0034002236262,45 : 4 : 51 %,CR
Euphorbia palustris,97601,17.368774250688,54.1076541523546,28.5235715969574,17 : 54 : 29 %,S/CSR
Euphrasia nemorosa,97776,1.5580581642195,46.5175833884496,51.9243584473309,2 : 47 : 52 %,SR
Euphrasia officinalis,97781,3.06403946988033,54.8550457974372,42.0809147326825,3 : 55 : 42 %,SR
Fagus sylvatica,97947,22.8581477342392,50.7087103377462,26.4331419280146,23 : 51 : 26 %,S/CSR
Ficaria verna,98651,32.3646807692438,0,67.6353192307562,32 : 0 : 68 %,R/CR
Ficus carica,98653,69.8088049166205,26.1038297821509,4.0873653012286,70 : 26 : 4 %,C/CS
Filipendula ulmaria,98717,51.8418035039884,30.5310256968457,17.6271707991659,52 : 31 : 18 %,C/CSR
Filipendula vulgaris,98718,29.8093047849988,39.8625348314124,30.3281603835888,30 : 40 : 30 %,CSR
Foeniculum vulgare,98756,73.0142432436612,26.9857567563388,0,73 : 27 : 0 %,C/CS
Fragaria vesca,98865,31.1435421376104,36.3309987589232,32.5254591034664,31 : 36 : 33 %,CSR
Frangula alnus,98887,27.1399616985232,41.3638127822556,31.4962255192211,27 : 41 : 31 %,CSR
Fraxinus angustifolia,98910,46.3884966545261,41.5729768643547,12.0385264811192,46 : 42 : 12 %,CS/CSR
Fraxinus excelsior,98921,59.0952845746226,33.9928224312904,6.91189299408702,59 : 34 : 7 %,C/CS
Fraxinus ornus,98933,51.5788266146689,39.2061360562728,9.21503732905831,52 : 39 : 9 %,CS
Fritillaria meleagris,98977,39.3712239156703,0,60.6287760843297,39 : 0 : 61 %,CR
Fumaria officinalis,99108,27.8057775462109,0.944898560218053,71.249323893571,28 : 1 : 71 %,R/CR
Galanthus nivalis,99233,42.8090216688529,0,57.1909783311471,43 : 0 : 57 %,CR
Galatella linosyris,99244,5.45451396877093,81.4736248585954,13.0718611726337,5 : 81 : 13 %,S
Galatella sedifolia,610594,10.422540455714,42.6214844268781,46.9559751174079,10 : 43 : 47 %,SR
Galega officinalis,99260,40.5569596669928,43.2199710087441,16.2230693242631,41 : 43 : 16 %,CS/CSR
Galeopsis ladanum,99305,20.1862735914624,42.4225925247572,37.3911338837805,20 : 42 : 37 %,SR/CSR
Galeopsis segetum,99329,37.8671759662441,1.40292394908615,60.7299000846698,38 : 1 : 61 %,CR
Galeopsis tetrahit,99334,30.4635179842845,0,69.5364820157154,30 : 0 : 70 %,R/CR
Galinsoga parviflora,99358,18.3428155519366,13.2766074710613,68.3805769770021,18 : 13 : 68 %,R/CR
Galium album,99366,1.3527833321293,43.4344713327552,55.2127453351155,1 : 43 : 55 %,SR
Galium aparine,99373,33.2510860118632,4.27629050434647,62.4726234837903,33 : 4 : 62 %,R/CR
Galium mollugo,99473,14.0411218339324,39.7522530342906,46.2066251317771,14 : 40 : 46 %,SR/CSR
Galium odoratum,99488,10.2920407782144,0,89.7079592217856,10 : 0 : 90 %,R
Galium palustre,99494,4.64640347999071,33.3126669572992,62.0409295627101,5 : 33 : 62 %,R/SR
Galium verum,99582,12.0013932211706,55.8482498660743,32.1503569127551,12 : 56 : 32 %,S/CSR
Genista anglica,99721,0,79.0811366041653,20.9188633958346,0 : 79 : 21 %,S/SR
Genista cinerea,99735,5.54656589230318,94.4534341076968,0,6 : 94 : 0 %,S
Genista scorpius,99815,7.26008570246969,92.7399142975303,0,7 : 93 : 0 %,S
Genista tinctoria,99828,10.1980419156845,59.1505787190532,30.6513793652622,10 : 59 : 31 %,S/CSR
Gentiana acaulis,99854,20.7183294835993,72.1352852066465,7.14638530975421,21 : 72 : 7 %,S/CS
Gentiana cruciata,99881,30.6148580910071,51.9230865327651,17.4620553762278,31 : 52 : 17 %,S/CSR
Gentiana lutea,99903,80.4775032391565,9.27595666279135,10.2465400980522,80 : 9 : 10 %,C
Gentiana pneumonanthe,99922,9.22803811507777,50.5098384724075,40.2621234125147,9 : 51 : 40 %,SR
Gentiana purpurea,99929,47.08149616676,29.4128991643955,23.5056046688445,47 : 29 : 24 %,C/CSR
Gentiana verna,99953,5.02154890556009,94.9784510944399,0,5 : 95 : 0 %,S
Geranium robertianum,100142,32.3829551146246,0,67.6170448853754,32 : 0 : 68 %,R/CR
Geranium rotundifolium,100144,20.3439239165711,34.908564606285,44.7475114771439,20 : 35 : 45 %,SR/CSR
Geranium sanguineum,100149,22.8962041135411,36.5555471388608,40.5482487475982,23 : 37 : 41 %,SR/CSR
Geum montanum,100208,29.7947459214514,70.2052540785486,0,30 : 70 : 0 %,S/CS
Geum rivale,100215,49.6735135420953,26.8882608483459,23.4382256095588,50 : 27 : 23 %,C/CSR
Geum urbanum,100225,40.4602860441928,27.4952153930278,32.0444985627794,40 : 27 : 32 %,CSR
Glechoma hederacea,100310,28.2842791835798,8.86910376009314,62.8466170563271,28 : 9 : 63 %,R/CR
Globularia alypum,100335,4.32443112851298,95.675568871487,0,4 : 96 : 0 %,S
Gratiola officinalis,100576,11.6709572784327,17.0301946156479,71.2988481059194,12 : 17 : 71 %,R/SR
Gymnadenia nigra,100613,23.2649684012949,0,76.7350315987051,23 : 0 : 77 %,R/CR
Hedera helix,100787,33.6837158452587,50.9021004405149,15.4141837142264,34 : 51 : 15 %,CS/CSR
Helianthemum nummularium,100956,15.9655810478934,21.5508403005784,62.4835786515282,16 : 22 : 62 %,R/CSR
Helichrysum italicum,101080,0,100,0,0 : 100 : 0 %,S
Helichrysum stoechas,101101,3.93330336727602,80.5649134736467,15.5017831590773,4 : 81 : 16 %,S/SR
Helleborus foetidus,101188,80.9162436994216,2.99843162411587,16.0853246764625,81 : 3 : 16 %,C/CR
Helleborus viridis,101202,80.5712725439848,16.305695630103,3.12303182591227,81 : 16 : 3 %,C/CS
Heracleum sphondylium,101300,77.0772485534502,9.60000969314376,13.322741753406,77 : 10 : 13 %,C/CR
Herniaria glabra,101411,0,35.5926099741054,64.4073900258946,0 : 36 : 64 %,R/SR
Herniaria hirsuta,101412,0,36.9834291436597,63.0165708563403,0 : 37 : 63 %,R/SR
Hesperis matronalis,101460,35.0200306119337,0,64.9799693880663,35 : 0 : 65 %,R/CR
Hieracium murorum,102235,39.8453196202829,0,60.1546803797172,40 : 0 : 60 %,CR
Hieracium umbellatum,102671,31.1458869064315,11.6773287929539,57.1767843006146,31 : 12 : 57 %,R/CSR
Hippophae rhamnoides,102863,20.3142159597617,67.4789557060698,12.2068283341685,20 : 67 : 12 %,S/CS
Humulus lupulus,103031,46.1106261917647,28.1282871453821,25.7610866628532,46 : 28 : 26 %,C/CSR
Hylotelephium telephium,103162,10.2945638824982,78.0953705003402,11.6100656171617,10 : 78 : 12 %,S/SR
Hyoscyamus niger,103185,62.3883018214577,0,37.6116981785423,62 : 0 : 38 %,CR
Hypericum perforatum,103316,4.98642191427727,58.8248239949676,36.1887540907551,5 : 59 : 36 %,SR
Hypericum pulchrum,103320,4.53422927906012,63.9252643122497,31.5405064086902,5 : 64 : 32 %,S/SR
Hypericum tetrapterum,103329,12.9800369324359,19.9696340182043,67.0503290493598,13 : 20 : 67 %,R/SR
Hypochaeris radicata,103375,45.7575680310767,0,54.2424319689233,46 : 0 : 54 %,CR
Hyssopus officinalis,103406,13.6394522782614,26.5309628637146,59.829584858024,14 : 27 : 60 %,R/CSR
Ilex aquifolium,103514,34.0213011442044,65.9786988557956,0,34 : 66 : 0 %,S/CS
Imperatoria ostruthium,103578,59.7443938096689,21.1003390790769,19.1552671112542,60 : 21 : 19 %,C/CSR
Inula helenium,103627,64.7807031379331,25.6970136433995,9.52228321866742,65 : 26 : 10 %,C/CS
Iris pseudacorus,103772,72.8061904210262,17.7362712894492,9.45753828952457,73 : 18 : 9 %,C/CS
Isatis tinctoria,103817,41.2608632376004,24.228024839401,34.5111119229986,41 : 24 : 35 %,CR/CSR
Jacobaea alpina,610648,62.4642254689361,8.34989811904878,29.1858764120151,62 : 8 : 29 %,C/CR
Jacobaea incana,610642,25.6485794113473,54.8649548386655,19.4864657499872,26 : 55 : 19 %,S/CSR
Jacobaea maritima,610643,43.754956780737,56.245043219263,0,44 : 56 : 0 %,CS
Jacobaea vulgaris,610646,52.5514103497491,0,47.4485896502509,53 : 0 : 47 %,CR
Juncus effusus,104173,43.9816154150756,56.0183845849244,0,44 : 56 : 0 %,CS
Kickxia elatine,104502,10.6638674828602,4.52665699129365,84.8094755258461,11 : 5 : 85 %,R
Knautia arvensis,104516,62.5060423986117,0,37.4939576013883,63 : 0 : 37 %,C/CR
Lactuca perennis,104764,51.4979024853551,0,48.502097514645,51 : 0 : 49 %,CR
Lactuca serriola,104775,48.17027102272,12.7094813035647,39.1202476737153,48 : 13 : 39 %,CR/CSR
Lactuca virosa,104787,64.4289964832091,4.60114413601292,30.969859380778,64 : 5 : 31 %,C/CR
Lamium album,104854,35.0446635970011,8.53053978411199,56.4247966188869,35 : 9 : 56 %,CR
Lamium amplexicaule,104855,10.3605945410718,0,89.6394054589281,10 : 0 : 90 %,R
Lamium galeobdolon,104876,34.3897095541605,24.1410219104758,41.4692685353637,34 : 24 : 41 %,CR/CSR
