LB_NOM,CD_REF,C,S,R,CSR,strategy_class
Corydalis solida,92594,32.6386730921016,0,67.3613269078984,33 : 0 : 67 %,R/CR
Corylus avellana,92606,35.6601008121193,51.1308244406193,13.2090747472615,36 : 51 : 13 %,CS/CSR
Cota tinctoria,92629,20.6066268363315,37.6825181414453,41.7108550222232,21 : 38 : 42 %,SR/CSR
Cotoneaster integerrimus,92667,16.1386704887523,70.7806475212064,13.0806819900413,16 : 71 : 13 %,S/CS
Crambe maritima,92782,48.423575488526,51.576424511474,0,48 : 52 : 0 %,CS
Crassula helmsii,92793,0,0,100,0 : 0 : 100 %,R
Crepis aurea,93004,63.4745568250719,0,36.5254431749281,63 : 0 : 37 %,C/CR
Crepis capillaris,93023,36.7882181830623,0,63.2117818169377,37 : 0 : 63 %,R/CR
Crepis conyzifolia,93027,40.9157925613911,59.0842074386089,0,41 : 59 : 0 %,CS
Crithmum maritimum,93190,5.36354319757136,94.6364568024286,0,5 : 95 : 0 %,S
Crocus vernus,93282,16.8933053166681,56.1800854467711,26.9266092365609,17 : 56 : 27 %,S/CSR
Cruciata glabra,93307,3.44114308842421,69.7004476925815,26.8584092189943,3 : 70 : 27 %,S/SR
Cytisus hirsutus,94123,28.9804760076148,6.65870391457547,64.3608200778097,29 : 7 : 64 %,R/CR
Dactylorhiza maculata,94266,48.3368997909842,0,51.6631002090158,48 : 0 : 52 %,CR
Dactylorhiza traunsteineri,94287,32.8746481434502,0,67.1253518565498,33 : 0 : 67 %,R/CR
Danthonia decumbens,94402,12.2197546630589,64.9784411111815,22.8018042257596,12 : 65 : 23 %,S/SR
Daphne cneorum,94423,1.47705317537261,80.8610174606792,17.6619293639482,1 : 81 : 18 %,S/SR
Daphne mezereum,94435,22.3422059104889,30.3651649127192,47.2926291767919,22 : 30 : 47 %,R/CSR
Datura stramonium,94489,75.6197775166341,0,24.3802224833659,76 : 0 : 24 %,C/CR
Daucus carota,94503,42.1026931126545,35.9709004700878,21.9264064172577,42 : 36 : 22 %,CS/CSR
Dianthus barbatus,94698,36.4900704314906,34.9930125929308,28.5169169755786,36 : 35 : 29 %,CSR
Dianthus deltoides,94728,1.51816870408476,60.5325881087764,37.9492431871389,2 : 61 : 38 %,SR
Digitaria ischaemum,94985,8.89001258149906,0,91.1099874185009,9 : 0 : 91 %,R
Diospyros virginiana,611108,56.1473280694187,16.1719733278347,27.6806986027466,56 : 16 : 28 %,C/CSR
Diphasiastrum alpinum,95056,3.24610918851574,96.7538908114843,0,3 : 97 : 0 %,S
Dipsacus pilosus,95154,54.4719292891691,0,45.5280707108309,54 : 0 : 46 %,CR
Dittrichia viscosa,95187,28.3449193513702,26.5199564408282,45.1351242078017,28 : 27 : 45 %,R/CSR
Doronicum austriacum,95209,52.9236099562863,0,47.0763900437137,53 : 0 : 47 %,CR
Doronicum pardalianches,95239,61.9063512935291,0,38.0936487064708,62 : 0 : 38 %,CR
Draba verna,95372,3.54778769730601,0,96.452212302694,4 : 0 : 96 %,R
Drosera intermedia,95438,0,11.8745858681859,88.1254141318141,0 : 12 : 88 %,R
Dryopteris affinis,95547,76.4341720106856,8.97290902721104,14.5929189621033,76 : 9 : 15 %,C/CR
Dryopteris expansa,95566,46.2119132601074,23.0891175554159,30.6989691844767,46 : 23 : 31 %,C/CSR
Dysphania ambrosioides,611753,37.190099516863,2.65255785209963,60.1573426310373,37 : 3 : 60 %,CR
Echinops exaltatus,95700,53.3122616032183,32.8593933918455,13.8283450049362,53 : 33 : 14 %,C/CSR
Echinops ritro,95709,62.5198772392112,37.4801227607888,0,63 : 37 : 0 %,C/CS
Elaeagnus umbellata,95841,21.5094686113479,47.4890701859348,31.0014612027173,22 : 47 : 31 %,S/CSR
Elatine hydropiper,95860,0,0,100,0 : 0 : 100 %,R
Eleocharis ovata,95919,24.218052658315,0,75.781947341685,24 : 0 : 76 %,R/CR
Eleusine indica,95965,14.1145858732649,33.6665849061948,52.2188292205403,14 : 34 : 52 %,SR/CSR
