"CD_REF","LB_NOM","FAMILLE","nombre_protections","nombre_reglementations","LRM","LRN","Provence-Alpes-Côte-d'Azur","Limousin","Centre","Poitou-Charentes","Franche-Comté","Aquitaine","Corse","Haute-Normandie","Basse-Normandie","Pays-de-la-Loire","Nord-Pas-de-Calais","Champagne-Ardenne","Picardie","Ile-de-France","Midi-Pyrénées","Auvergne","Bretagne","Bourgogne","Lorraine","Alsace","Rhône-Alpes","Hauts-de-France","harvested"
127117,"Traunsteinera globosa","Orchidaceae",2,2,NA,"LC",NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,"CR","EN","LC",NA,"not harvested"
127131,"Tribulus terrestris","Zygophyllaceae",0,0,"LC","LC",NA,NA,NA,"NT",NA,"LC","LC",NA,NA,"NT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA,"harvested"
127191,"Trichophorum alpinum","Cyperaceae",1,0,"LC","LC",NA,NA,NA,NA,"NT",NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,"EN",NA,"not harvested"
127193,"Trichophorum cespitosum","Cyperaceae",7,0,NA,"LC",NA,"LC","CR","CR*","LC","LC","LC","RE","NT","VU","VU","CR","CR","CR","LC","LC","LC","CR","LC","NT","LC",NA,"not harvested"
127195,"Trichophorum pumilum","Cyperaceae",1,0,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA,"not harvested"
127216,"Trifolium alpestre","Fabaceae",0,0,NA,"LC",NA,NA,"RE",NA,"RE",NA,NA,NA,NA,NA,NA,"NT",NA,NA,"NT","LC",NA,"NT","NT","NT","LC",NA,"not harvested"
127219,"Trifolium alpinum","Fabaceae",0,0,"LC","LC",NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,"LC","LC",NA,NA,NA,NA,"LC",NA,"harvested"
127223,"Trifolium angustifolium","Fabaceae",0,0,"LC","LC",NA,"VU","CR","LC",NA,"LC","LC",NA,"VU","NT",NA,NA,NA,NA,"LC",NA,"VU",NA,NA,NA,"LC",NA,"not harvested"
127230,"Trifolium arvense","Fabaceae",0,0,NA,"LC",NA,"LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC",NA,"harvested"
127233,"Trifolium aureum","Fabaceae",0,0,NA,"LC",NA,"DD","CR",NA,"LC","DD",NA,NA,NA,NA,NA,"NT","RE","EN","DD","LC",NA,"VU","LC","LC","LC",NA,"not harvested"
127237,"Trifolium badium","Fabaceae",0,0,NA,"LC",NA,NA,NA,NA,"CR","NT",NA,NA,NA,NA,NA,NA,NA,NA,"LC","EN",NA,NA,NA,NA,"LC",NA,"not harvested"
608822,"Trifolium bocconei","Fabaceae",4,0,NA,"LC",NA,NA,NA,"EN",NA,"CR*","LC",NA,"EN","EN",NA,NA,NA,NA,"VU",NA,"CR",NA,NA,NA,"NE",NA,"not harvested"
127259,"Trifolium campestre","Fabaceae",0,0,NA,"LC",NA,"LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC",NA,"not harvested"
127266,"Trifolium cernuum","Fabaceae",1,0,NA,"LC","CR",NA,NA,NA,NA,"NT","DD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not harvested"
127269,"Trifolium cherleri","Fabaceae",0,0,NA,"LC",NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,"EN",NA,"not harvested"
127291,"Trifolium diffusum","Fabaceae",0,0,NA,"LC",NA,NA,NA,NA,NA,NA,"NT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not harvested"
127294,"Trifolium dubium","Fabaceae",0,0,NA,"LC",NA,"LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC","LC",NA,"not harvested"
