CD_REF,Regroupement,NOM_VALIDE,GBIF,AccSpeciesID,KEW_binomial_acc_name,PFAF_name,PFAF_name
91886,Angiosperm,"Clematis vitalba L., 1753",3033558,13413,Clematis vitalba,Clematis vitalba,Clematis recta
91904,Angiosperm,"Clinopodium grandiflorum (L.) Kuntze, 1891",7437438,72497,not_found,not_found,Clematis vitalba
91910,Angiosperm,"Clinopodium nepeta (L.) Kuntze, 1891",8916040,79111,Clinopodium nepeta,not_found,not_found
91912,Angiosperm,"Clinopodium vulgare L., 1753",2926945,13561,Clinopodium vulgare,Clinopodium vulgare,not_found
92052,Angiosperm,"Cochlearia officinalis L., 1753",5373276,13722,Cochlearia officinalis,Cochlearia officinalis,not_found
92127,Angiosperm,"Colchicum autumnale L., 1753",2739622,13878,Colchicum autumnale,Colchicum autumnale,Clinopodium vulgare
92196,Angiosperm,"Colutea arborescens L., 1753",7844167,13980,Colutea arborescens,Colutea arborescens,Cochlearia officinalis
92237,Angiosperm,"Conium maculatum L., 1753",3034807,14183,Conium maculatum,Conium maculatum,Colchicum autumnale
92282,Angiosperm,"Convallaria majalis L., 1753",7459480,14240,Convallaria majalis,Convallaria majalis,Colutea arborescens
92302,Angiosperm,"Convolvulus arvensis L., 1753",2928390,14244,Convolvulus arvensis,Convolvulus arvensis,Conium maculatum
92467,Angiosperm,"Coriaria myrtifolia L., 1753",3701787,14515,Coriaria myrtifolia,Coriaria myrtifolia,Convallaria majalis
92497,Angiosperm,"Cornus mas L., 1753",3082263,14580,Cornus mas,Cornus mas,Convolvulus arvensis
92501,Angiosperm,"Cornus sanguinea L., 1753",3082234,14595,Cornus sanguinea,Cornus sanguinea,Coriaria myrtifolia
92606,Angiosperm,"Corylus avellana L., 1753",2875979,14688,Corylus avellana,Corylus avellana,Cornus mas
92631,Angiosperm,"Cotinus coggygria Scop., 1771",3190522,14789,Cotinus coggygria,Cotinus coggygria,Cornus sanguinea
92824,Angiosperm,"Crataegus azarolus L., 1753",3013739,15060,Crataegus azarolus,Crataegus azarolus,Corylus avellana
92864,Angiosperm,"Crataegus laevigata (Poir.) DC., 1825",8252683,15080,Crataegus laevigata,Crataegus laevigata,Cotinus coggygria
92876,Angiosperm,"Crataegus monogyna Jacq., 1775",9220780,15090,Crataegus monogyna,Crataegus monogyna,Crataegus azarolus
93045,Angiosperm,"Crepis foetida L., 1753",5403470,15177,not_found,not_found,Crataegus laevigata
93129,Angiosperm,"Crepis sancta (L.) Bornm., 1913",5403605,15197,not_found,not_found,Crataegus monogyna
93157,Angiosperm,"Crepis vesicaria L., 1753",5403709,15206,Crepis vesicaria,not_found,not_found
93190,Angiosperm,"Crithmum maritimum L., 1753",3632234,15227,Crithmum maritimum,Crithmum maritimum,not_found
93308,Angiosperm,"Cruciata laevipes Opiz, 1852",5338920,15613,Cruciata laevipes,Cruciata laevipes,not_found
93621,Angiosperm,"Cuscuta epithymum (L.) L., 1774",2927518,15970,Cuscuta epithymum,Cuscuta epithymum,Crithmum maritimum
93623,Angiosperm,"Cuscuta europaea L., 1753",2927493,15971,Cuscuta europaea,not_found,Cruciata laevipes
93673,Angiosperm,"Cyanus montanus (L.) Hill, 1768",9023462,218825,Centaurea montana,Centaurea montana,Cuscuta epithymum
93708,Angiosperm,"Cyclamen purpurascens Mill., 1768",3169315,16117,Cyclamen purpurascens,not_found,not_found
93803,Angiosperm,"Cynodon dactylon (L.) Pers., 1805",6109637,16277,Cynodon dactylon,Cynodon dactylon,Centaurea montana
93840,Angiosperm,"Cynoglossum officinale L., 1753",2925815,16302,Cynoglossum officinale,Cynoglossum officinale,not_found
93967,Angiosperm,"Cyperus longus L., 1753",8243603,16416,Cyperus longus,Cyperus longus,Cynodon dactylon
94011,Angiosperm,"Cyperus rotundus L., 1753",2714818,16443,Cyperus rotundus,Cyperus rotundus,Cynoglossum officinale
94164,Angiosperm,"Cytisus scoparius (L.) Link, 1822",5354656,16641,Cytisus scoparius,Cytisus scoparius,Cyperus longus
94207,Angiosperm,"Dactylis glomerata L., 1753",2705308,16700,Dactylis glomerata,Dactylis glomerata,Cyperus rotundus
94266,Angiosperm,"Dactylorhiza maculata (L.) So�, 1962",8179794,16729,Dactylorhiza maculata,Dactylorhiza maculata,Cytisus scoparius
94427,Angiosperm,"Daphne gnidium L., 1753",7311306,16954,Daphne gnidium,Daphne gnidium,Dactylis glomerata
94432,Angiosperm,"Daphne laureola L., 1753",5420853,16958,Daphne laureola,Daphne laureola,Dactylorhiza maculata
94435,Angiosperm,"Daphne mezereum L., 1753",5420852,16960,Daphne mezereum,Daphne mezereum,Daphne gnidium
94489,Angiosperm,"Datura stramonium L., 1753",2928751,17034,Datura stramonium,Datura stramonium,Daphne laureola
94503,Angiosperm,"Daucus carota L., 1753",3034742,17041,Daucus carota,Daucus carota,Daphne mezereum
94572,Angiosperm,"Delphinium consolida L., 1753",3033836,419739,Delphinium consolida,not_found,Datura stramonium
94590,Angiosperm,"Delphinium montanum DC., 1815",8292009,17171,not_found,not_found,Daucus carota
94626,Angiosperm,"Deschampsia cespitosa (L.) P.Beauv., 1812",8059811,17365,Deschampsia cespitosa,not_found,not_found
94645,Angiosperm,"Descurainia sophia (L.) Webb ex Prantl, 1891",3044318,17412,Descurainia sophia,Descurainia sophia,not_found
94716,Angiosperm,"Dianthus carthusianorum L., 1753",8400876,17587,Dianthus carthusianorum,not_found,not_found
94923,Angiosperm,"Dictamnus albus L., 1753",5421338,17797,Dictamnus albus,Dictamnus albus,Descurainia sophia
94945,Angiosperm,"Digitalis lutea L., 1753",5414990,17862,Digitalis lutea,Digitalis lutea,not_found
94959,Angiosperm,"Digitalis purpurea L., 1753",5414995,17868,Digitalis purpurea,Digitalis purpurea,Dictamnus albus
611652,Angiosperm,"Dioscorea communis (L.) Caddick & Wilkin, 2002",2755063,81266,Dioscorea communis,not_found,Digitalis lutea
95136,Angiosperm,"Diplotaxis tenuifolia (L.) DC., 1821",5376426,18714,Diplotaxis tenuifolia,Diplotaxis tenuifolia,Digitalis purpurea
95186,Angiosperm,"Dittrichia graveolens (L.) Greuter, 1973",3101193,18990,Dittrichia graveolens,not_found,not_found
95187,Angiosperm,"Dittrichia viscosa (L.) Greuter, 1973",3101184,18991,Dittrichia viscosa,Dittrichia viscosa,Diplotaxis tenuifolia
95239,Angiosperm,"Doronicum pardalianches L., 1753",3142951,19154,Doronicum pardalianches,Doronicum pardalianches,not_found
95425,Angiosperm,"Dracunculus vulgaris Schott, 1832",5330001,81745,Dracunculus vulgaris,not_found,Dittrichia viscosa
95438,Angiosperm,"Drosera intermedia Hayne, 1798",3191157,19339,Drosera intermedia,not_found,Doronicum pardalianches
95442,Angiosperm,"Drosera rotundifolia L., 1753",3191030,19347,Drosera rotundifolia,Drosera rotundifolia,not_found
95461,Angiosperm,"Dryas octopetala L., 1753",4889932,19375,Dryas octopetala,Dryas octopetala,not_found
611753,Angiosperm,"Dysphania ambrosioides (L.) Mosyakin & Clemants, 2002",5568446,81989,Dysphania ambrosioides,not_found,Drosera rotundifolia
611755,Angiosperm,"Dysphania botrys (L.) Mosyakin & Clemants, 2002",5568428,222365,Dysphania botrys,not_found,Dryas octopetala
95662,Angiosperm,"Ecballium elaterium (L.) A.Rich., 1824",2874680,19692,Ecballium elaterium,Ecballium elaterium,not_found
95793,Angiosperm,"Echium vulgare L., 1753",2925892,19822,Echium vulgare,Echium vulgare,not_found
95806,Angiosperm,"Eclipta prostrata (L.) L., 1771",5384950,19825,Eclipta prostrata,Eclipta prostrata,Ecballium elaterium
90483,Angiosperm,"Chamaenerion angustifolium (L.) Scop., 1771",6428353,20801,Epilobium angustifolium,Epilobium angustifolium,Echium vulgare
1019304,Angiosperm,"Chamaenerion dodonaei (Vill.) Schur, 1853",3666422,20824,not_found,not_found,Eclipta prostrata
96180,Angiosperm,"Epilobium hirsutum L., 1753",3189172,20845,Epilobium hirsutum,Epilobium hirsutum,Epilobium angustifolium
96208,Angiosperm,"Epilobium montanum L., 1753",3664083,20863,not_found,not_found,not_found
96226,Angiosperm,"Epilobium palustre L., 1753",3189080,20875,Epilobium palustre,not_found,Epilobium hirsutum
96229,Angiosperm,"Epilobium parviflorum Schreb., 1771",3189157,20877,Epilobium parviflorum,Epilobium parviflorum,not_found
96251,Angiosperm,"Epilobium roseum Schreb., 1771",3666800,20885,Epilobium roseum,not_found,not_found
96271,Angiosperm,"Epilobium tetragonum L., 1753",7322563,20893,Epilobium tetragonum,not_found,Epilobium parviflorum
96664,Angiosperm,"Erica carnea L., 1753 [nom. cons.]",5682465,21551,Erica carnea,not_found,not_found
96665,Angiosperm,"Erica ciliaris L., 1753",5682320,21554,Erica ciliaris,not_found,not_found
96667,Angiosperm,"Erica cinerea L., 1753",5333411,21555,Erica cinerea,not_found,not_found
96691,Angiosperm,"Erica scoparia L., 1753",7946667,21596,Erica scoparia,not_found,not_found
96698,Angiosperm,"Erica vagans L., 1770 [nom. et typ. cons.]",5333408,21609,not_found,Erica vagans,not_found
611688,Angiosperm,"Erigeron acris L., 1753",3147080,21625,Erigeron acris,not_found,not_found
96749,Angiosperm,"Erigeron canadensis L., 1753",3146791,21638,Erigeron canadensis,not_found,Erica vagans
96895,Angiosperm,"Erodium cicutarium (L.) L'H�r., 1789",9485490,21900,Erodium cicutarium,Erodium cicutarium,not_found
97141,Angiosperm,"Eryngium campestre L., 1753",3034426,21961,Eryngium campestre,Eryngium campestre,not_found
609982,Angiosperm,"Euonymus europaeus L., 1753",3169131,23260,Euonymus europaeus,Euonymus europaeus,Erodium cicutarium
97434,Angiosperm,"Eupatorium cannabinum L., 1753",5402943,23289,Eupatorium cannabinum,Eupatorium cannabinum,Eryngium campestre
97452,Angiosperm,"Euphorbia amygdaloides L., 1753",3065239,23331,Euphorbia amygdaloides,not_found,Euonymus europaeus
97490,Angiosperm,"Euphorbia cyparissias L., 1753",3070106,23387,Euphorbia cyparissias,not_found,Eupatorium cannabinum
97537,Angiosperm,"Euphorbia helioscopia L., 1753",3066367,23444,Euphorbia helioscopia,Euphorbia helioscopia,not_found
97556,Angiosperm,"Euphorbia lathyris L., 1753",3066965,23476,Euphorbia lathyris,Euphorbia lathyris,not_found
97601,Angiosperm,"Euphorbia palustris L., 1753",3064056,23527,Euphorbia palustris,not_found,Euphorbia helioscopia
97776,Angiosperm,"Euphrasia nemorosa (Pers.) Wallr., 1815",3171964,23657,not_found,not_found,Euphorbia lathyris
97781,Angiosperm,"Euphrasia officinalis L., 1753",8106874,23658,Euphrasia officinalis,Euphrasia officinalis,not_found
97947,Angiosperm,"Fagus sylvatica L., 1753",2882316,23906,Fagus sylvatica,Fagus sylvatica,not_found
98020,Angiosperm,"Ferula communis L., 1753",8048981,24101,Ferula communis,Ferula communis,Euphrasia officinalis
98651,Angiosperm,"Ficaria verna Huds., 1762",9094061,83492,Ranunculus ficaria,not_found,Fagus sylvatica
98653,Angiosperm,"Ficus carica L., 1753",5361909,24783,Ficus carica,Ficus carica,Ferula communis
98717,Angiosperm,"Filipendula ulmaria (L.) Maxim., 1879",2987999,24995,Filipendula ulmaria,Filipendula ulmaria,not_found
