"","CD_REF","LB_NOM","FAMILLE","FR"
"3447",106838,"Luzula lutea","Juncaceae","P"
"3448",106839,"Luzula luzulina","Juncaceae","P"
"3449",106840,"Luzula luzuloides","Juncaceae","P"
"3450",106842,"Luzula multiflora","Juncaceae","P"
"3451",106846,"Luzula nivea","Juncaceae","P"
"3452",106852,"Luzula pedemontana","Juncaceae","P"
"3453",106853,"Luzula pediformis","Juncaceae","P"
"3454",106854,"Luzula pilosa","Juncaceae","P"
"3455",106859,"Luzula spicata","Juncaceae","P"
"3456",106861,"Luzula sudetica","Juncaceae","P"
"3457",106863,"Luzula sylvatica","Juncaceae","P"
"3458",106902,"Lychnis chalcedonica","Caryophyllaceae","M"
"3459",106910,"Lychnis coronaria","Caryophyllaceae","I"
"3460",106918,"Lychnis flos-cuculi","Caryophyllaceae","P"
"3461",106919,"Lychnis flos-jovis","Caryophyllaceae","P"
"3462",717299,"Lycianthes rantonnetii","Solanaceae","M"
"3463",106965,"Lycium barbarum","Solanaceae","I"
"3464",106966,"Lycium chinense","Solanaceae","I"
"3465",106969,"Lycium europaeum","Solanaceae","I"
"3466",106993,"Lycopodiella inundata","Lycopodiaceae","P"
"3467",95056,"Diphasiastrum alpinum","Lycopodiaceae","P"
"3468",719157,"Spinulum annotinum","Lycopodiaceae","P"
"3469",107003,"Lycopodium clavatum","Lycopodiaceae","P"
"3470",95057,"Diphasiastrum complanatum","Lycopodiaceae","W"
"3471",95058,"Diphasiastrum x issleri","Lycopodiaceae","P"
"3472",95059,"Diphasiastrum x oellgaardii","Lycopodiaceae","P"
"3473",95060,"Diphasiastrum tristachyum","Lycopodiaceae","P"
"3474",95061,"Diphasiastrum x zeilleri","Lycopodiaceae","P"
"3475",107027,"Lycopsis arvensis","Boraginaceae","P"
"3476",107032,"Lycopsis orientalis","Boraginaceae","I"
"3477",107038,"Lycopus europaeus","Lamiaceae","P"
"3478",717300,"Lygeum spartum","Poaceae","I"
"3479",610602,"Lysichiton americanus","Araceae","J"
"3480",610909,"Lysimachia arvensis","Primulaceae","P"
"3481",107061,"Lysimachia ephemerum","Primulaceae","P"
"3482",610911,"Lysimachia europaea","Primulaceae","P"
"3483",706505,"Lysimachia foemina","Primulaceae","P"
"3484",107066,"Lysimachia linum-stellatum","Primulaceae","P"
"3485",610907,"Lysimachia maritima","Primulaceae","P"
"3486",610910,"Lysimachia minima","Primulaceae","P"
"3487",610912,"Lysimachia monelli","Primulaceae","I"
"3488",107072,"Lysimachia nemorum","Primulaceae","P"
"3489",107073,"Lysimachia nummularia","Primulaceae","P"
"3490",107077,"Lysimachia punctata","Primulaceae","I"
"3491",107085,"Lysimachia tenella","Primulaceae","P"
"3492",107086,"Lysimachia thyrsiflora","Primulaceae","P"
"3493",610908,"Lysimachia tyrrhenia","Primulaceae","P"
"3494",107090,"Lysimachia vulgaris","Primulaceae","P"
"3495",107097,"Lythrum borysthenicum","Lythraceae","P"
"3496",107106,"Lythrum hyssopifolia","Lythraceae","P"
"3497",107108,"Lythrum junceum","Lythraceae","P"
