CD_REF,Regroupement,REGNE,NOM_VALIDE,GBIF,AccSpeciesID,KEW_binomial_acc_name,PFAF_name,Comment
93840,Angiospermes,Plantae,"Cynoglossum officinale L., 1753",2925815,16302,Cynoglossum officinale,Cynoglossum officinale,
93967,Angiospermes,Plantae,"Cyperus longus L., 1753",8243603,16416,Cyperus longus,Cyperus longus,
94011,Angiospermes,Plantae,"Cyperus rotundus L., 1753",2714818,16443,Cyperus rotundus,Cyperus rotundus,
94164,Angiospermes,Plantae,"Cytisus scoparius (L.) Link, 1822",5354656,16641,Cytisus scoparius,Cytisus scoparius,
94207,Angiospermes,Plantae,"Dactylis glomerata L., 1753",2705308,16700,Dactylis glomerata,Dactylis glomerata,
94266,Angiospermes,Plantae,"Dactylorhiza maculata (L.) Soó, 1962",8179794,16729,Dactylorhiza maculata,Dactylorhiza maculata,
94427,Angiospermes,Plantae,"Daphne gnidium L., 1753",7311306,16954,Daphne gnidium,Daphne gnidium,
94432,Angiospermes,Plantae,"Daphne laureola L., 1753",5420853,16958,Daphne laureola,Daphne laureola,
94435,Angiospermes,Plantae,"Daphne mezereum L., 1753",5420852,16960,Daphne mezereum,Daphne mezereum,
94489,Angiospermes,Plantae,"Datura stramonium L., 1753",2928751,17034,Datura stramonium,Datura stramonium,
94503,Angiospermes,Plantae,"Daucus carota L., 1753",3034742,17041,Daucus carota,Daucus carota,
94572,Angiospermes,Plantae,"Delphinium consolida L., 1753",3033836,419739,Delphinium consolida,not_found,
94590,Angiospermes,Plantae,"Delphinium montanum DC., 1815",8292009,17171,not_found,not_found,
94626,Angiospermes,Plantae,"Deschampsia cespitosa (L.) P.Beauv., 1812",8059811,17365,Deschampsia cespitosa,not_found,
94645,Angiospermes,Plantae,"Descurainia sophia (L.) Webb ex Prantl, 1891",3044318,17412,Descurainia sophia,Descurainia sophia,
94716,Angiospermes,Plantae,"Dianthus carthusianorum L., 1753",8400876,17587,Dianthus carthusianorum,not_found,
94923,Angiospermes,Plantae,"Dictamnus albus L., 1753",5421338,17797,Dictamnus albus,Dictamnus albus,
94945,Angiospermes,Plantae,"Digitalis lutea L., 1753",5414990,17862,Digitalis lutea,Digitalis lutea,
94959,Angiospermes,Plantae,"Digitalis purpurea L., 1753",5414995,17868,Digitalis purpurea,Digitalis purpurea,
611652,Angiospermes,Plantae,"Dioscorea communis (L.) Caddick & Wilkin, 2002",2755063,81266,Dioscorea communis,not_found,
95136,Angiospermes,Plantae,"Diplotaxis tenuifolia (L.) DC., 1821",5376426,18714,Diplotaxis tenuifolia,Diplotaxis tenuifolia,
95186,Angiospermes,Plantae,"Dittrichia graveolens (L.) Greuter, 1973",3101193,18990,Dittrichia graveolens,not_found,
95187,Angiospermes,Plantae,"Dittrichia viscosa (L.) Greuter, 1973",3101184,18991,Dittrichia viscosa,Dittrichia viscosa,
95239,Angiospermes,Plantae,"Doronicum pardalianches L., 1753",3142951,19154,Doronicum pardalianches,Doronicum pardalianches,
95425,Angiospermes,Plantae,"Dracunculus vulgaris Schott, 1832",5330001,81745,Dracunculus vulgaris,not_found,
95438,Angiospermes,Plantae,"Drosera intermedia Hayne, 1798",3191157,19339,Drosera intermedia,not_found,
95442,Angiospermes,Plantae,"Drosera rotundifolia L., 1753",3191030,19347,Drosera rotundifolia,Drosera rotundifolia,
95461,Angiospermes,Plantae,"Dryas octopetala L., 1753",4889932,19375,Dryas octopetala,Dryas octopetala,
611753,Angiospermes,Plantae,"Dysphania ambrosioides (L.) Mosyakin & Clemants, 2002",5568446,81989,Dysphania ambrosioides,not_found,
611755,Angiospermes,Plantae,"Dysphania botrys (L.) Mosyakin & Clemants, 2002",5568428,222365,Dysphania botrys,not_found,
95662,Angiospermes,Plantae,"Ecballium elaterium (L.) A.Rich., 1824",2874680,19692,Ecballium elaterium,Ecballium elaterium,
95793,Angiospermes,Plantae,"Echium vulgare L., 1753",2925892,19822,Echium vulgare,Echium vulgare,
95806,Angiospermes,Plantae,"Eclipta prostrata (L.) L., 1771",5384950,19825,Eclipta prostrata,Eclipta prostrata,
90483,Angiospermes,Plantae,"Chamaenerion angustifolium (L.) Scop., 1771",6428353,20801,Epilobium angustifolium,Epilobium angustifolium,
1019304,Angiospermes,Plantae,"Chamaenerion dodonaei (Vill.) Schur, 1853",3666422,20824,not_found,not_found,
96180,Angiospermes,Plantae,"Epilobium hirsutum L., 1753",3189172,20845,Epilobium hirsutum,Epilobium hirsutum,
96208,Angiospermes,Plantae,"Epilobium montanum L., 1753",3664083,20863,not_found,not_found,
96226,Angiospermes,Plantae,"Epilobium palustre L., 1753",3189080,20875,Epilobium palustre,not_found,
96229,Angiospermes,Plantae,"Epilobium parviflorum Schreb., 1771",3189157,20877,Epilobium parviflorum,Epilobium parviflorum,
96251,Angiospermes,Plantae,"Epilobium roseum Schreb., 1771",3666800,20885,Epilobium roseum,not_found,
96271,Angiospermes,Plantae,"Epilobium tetragonum L., 1753",7322563,20893,Epilobium tetragonum,not_found,
96664,Angiospermes,Plantae,"Erica carnea L., 1753 [nom. cons.]",5682465,21551,Erica carnea,not_found,
96665,Angiospermes,Plantae,"Erica ciliaris L., 1753",5682320,21554,Erica ciliaris,not_found,
96667,Angiospermes,Plantae,"Erica cinerea L., 1753",5333411,21555,Erica cinerea,not_found,
96691,Angiospermes,Plantae,"Erica scoparia L., 1753",7946667,21596,Erica scoparia,not_found,
96698,Angiospermes,Plantae,"Erica vagans L., 1770 [nom. et typ. cons.]",5333408,21609,not_found,Erica vagans,
611688,Angiospermes,Plantae,"Erigeron acris L., 1753",3147080,21625,Erigeron acris,not_found,
